year,local,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47
2004,충남,44,Chungcheongnam-do,충청남도,,,,,,,,,,,,,,,,"2,510,268","2,173,420","143,493","193,355",82.7,16.5,66.21,"310,716","1,246,726","1,882,997",242,"462,000","49,063,652","60,583,607",,,,,,,30.5,78.1,13.1,"1,953,406",새천년민주당,3rd,심대평,자민련,66.96,박태권,한나라당,33.03
2004,전북,45,Jeollabuk-do,전라북도,,,,,,,,,,,,,,,,"2,207,703","1,872,024","139,788","195,890",80.2,14.92,65.31,"255,318","1,117,441","1,710,996",174,"340,000","26,638,816","33,844,818",,,,,,,25.9,77.8,12.5,"1,906,742",새천년민주당,3rd,강현욱,새천년민주당,74.56,손주항,무소속,17.12
2004,전남,46,Jellanam-do,전라남도,,,,,,,,,,,,,,,,"3,194,728","2,539,668","363,563","291,496",81.9,7.41,74.54,"169,440","1,704,293","2,286,449",160,"322,845","44,219,709","55,586,311",,,,,,,21.1,75,14.9,"1,986,192",새천년민주당,3rd,박태영,새천년민주당,57.76,송재구,무소속,24.24
2004,경북,47,Gyeongsangbuk-do,경상북도,,,,,,,,,,,,,,,,"3,054,138","2,512,646","286,033","255,460",73.8,9.3,64.49,"204,874","1,419,944","2,201,800",200,"545,000","63,875,959","69,948,144",,,,,,,29.4,81.5,12.9,"2,695,917",새천년민주당,3rd,이의근,한나라당,85.49,조영건,무소속,14.5
2004,경남,48,Gyeongsangnam-do,경상남도,,,,,,,,,,,,,,,,"3,335,184","2,887,247","211,768","236,169",69.1,10.25,58.89,"259,856","1,493,243","2,535,473",276,"867,000","61,723,288","71,667,409",,,,,,,38.3,80.7,9.9,"3,143,814",새천년민주당,3rd,김혁규,한나라당,74.5,김두관,새천년민주당,16.88
2004,제주,50,Jeju-do,제주특별자치도,,,,,,,,,,,,,,,,"1,007,604","775,951","60,159","171,493",61.4,7.98,53.47,"61,296","410,716","768,149",440,"243,108","8,144,202","10,579,746",,,,,,,34.7,76.3,9.6,"555,362",새천년민주당,3rd,우근민,새천년민주당,51.4,신구범,한나라당,45.41
2005,서울,11,Seoul,서울특별시,,,,,,,,,,,,,,,,"15,850,996","11,157,472","674,969","4,018,555",29.4,20.72,8.66,"2,102,595","879,184","10,150,000",853,"8,681,783","232,177,439","280,676,032",,,,,,,96.1,96.1,7.2,"10,167,344",새천년민주당,3rd,이명박,한나라당,52.28,김민석,새천년민주당,43.02
2005,부산,26,Busan,부산광역시,,,,,,,,,,,,,,,,"5,164,993","3,504,189","687,307","973,497",43.1,19.83,23.22,"644,516","754,609","3,249,661",555,"2,035,044","52,915,427","63,032,743",,,,,,,73.4,81.3,8.3,"3,638,293",새천년민주당,3rd,안상영,한나라당,63.76,한이헌,새천년민주당,19.39
2005,대구,27,Daegu,대구광역시,,,,,,,,,,,,,,,,"3,270,828","2,062,674","321,730","886,423",37.1,16.35,20.78,"329,736","418,870","2,016,200",502,"1,267,503","32,139,659","39,039,831",,,,,,,73.9,87.3,7.8,"2,511,306",새천년민주당,3rd,조해녕,한나라당,61.18,이재용,무소속,38.81
2005,인천,28,Incheon,인천광역시,,,,,,,,,,,,,,,,"3,769,347","2,468,441","839,379","461,527",50.5,23.23,27.3,"552,538","649,495","2,379,065",595,"1,534,975","46,063,682","56,922,112",,,,,,,70,77,6.9,"2,600,495",새천년민주당,3rd,안상수,한나라당,56.17,박상은,새천년민주당,32.11
